"protocolo";"data_manifestacao";"municipio_denunciante";"municipio_fato";"localFato";"manifestacao";"status_atual";"desc_status";"sigla";"nome";"tipo_manifestacao";"assunto";"sub_assunto"
"2020.0317.091024-64";"2020-03-17 09:10:24";;"GOIANIA";"Via pública";"O reclamante, Sr. Marcos Vinícius de Araújo, disse que no dia 16 de março de 2020, passou por quatro Blitzes realizadas por policiais militares em Goiânia-GO, sendo que a primeira ocorria no Setor Parque Anhanguera, próximo ao Campo do Goiás, outra na Avenida T-9, próximo ao Supermercado Bretas e as demais não soube precisar o endereço. Que, na ocasião foi parado e abordado em duas destas Blitzes. Que, em ambas pode perceber uma grande aglomeração de pessoas a volta dos policiais, não sendo possível manter uma distância de dois metros, o recomendado devido ao surto do Coronavírus. Que, não havia mesas ou bancas distintas para atendimento visando o distanciamento dos abordados e de policiais militares. Que, o governador, Dr. Ronaldo Caiado, desmerecedor do voto, deveria primeiramente "arrumar a casa" para depois fazer cobranças de medidas que combatam tal doença. Pede que procidências sejam tomadas.Manifestação recebida: Via 181Interessado: Ouvidoria Geral da SSP-GO E-mail: ouvidoria@ssp.go.gov.br";"55";"Finalizado pela ouvidoria do Órgão.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Reclamação";"COVID-19 - Corona Vírus";"Estabelecimento aberto"
"2020.0317.115047-17";"2020-03-17 11:50:47";;"VALPARAISO DE GOIAS";;"Injustiça liberar os servidores de outras secretarias das unidades Vapt Vupt e os servidores da SEAD não. Enquanto uns tem mais direitos, outros não tem? O  caso de pandemia é mundial e as regras de prevenção devem ser aplicadas a todos.";"55";"Finalizado pela ouvidoria do Órgão.";"SEAD";"Secretaria de Estado de Administração (Antiga SEGPLAN)";"Comunicação";"COVID-19 - Corona Vírus";"Informações"
"2020.0317.133347-61";"2020-03-17 13:33:47";;"GOIANIA";"SECRETARIA DE ECONOMIA";"Senhora Secretária da Economia,Com todo respeito pelo trabalho de prevenção desenvolvido pelo estado em prol da saúde dos servidores, gostaria de saber qual a dificuldade de normatizar o tele trabalho para as equipes que tem essa possibilidade.Acho extremamente arriscado deixar pessoas em situação de risco por falta de normas regulamentadoras.Não é questão pessoal, é questão de saúde pública.O tema exige urgência, não é novidade, parece falta de confiança.O controle das atividades dos servidores, tal qual em uma empresa privada, que é o orgulho da nova administração, mas não pode sobrepor as medidas de prevenção corretas e possíveis!Isso é justo com a população do Estado de Goiás? Tratar a administração pública aproximando-a da realidade das empresas privadas de sucesso é louvável, admiro a nova administração, mas agora está fora do controle, tem que abrir mão e acreditar que nós servidores temos compromisso com nossa missão e não somos irresponsáveis, picaretas, somos confiáveis e sabemos do nosso compromisso com o cidadão.As mães com seus filhos sem escola, os avós sem condições de cuidar dos netos, as famílias sem saber o que fazer com as crianças e nada de se resolver isso.Por favor sejam assertivos e não contribuam com essa tragédia anunciada!!!";"55";"Finalizado pela ouvidoria do Órgão.";"ECONOMIA";"Secretaria de Estado da Economia (Antiga SEFAZ)";"Denúncia";"COVID-19 - Corona Vírus";"Informações"
"2020.0317.141513-32";"2020-03-17 14:15:13";;"APARECIDA DE GOIANIA";"Garavelo";"O supermercado Garavelo está vendendo caixa de mascara comum, em um valor absurdo. Cobrando 200 reais em um caixa de máscara. Aproveitando de uma situação trágica para captar ganhos astronômicos financeiros.";"55";"Finalizado pela ouvidoria do Órgão.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"COVID-19 - Corona Vírus";"Estabelecimento aberto"
"2020.0318.081504-41";"2020-03-18 08:15:04";;"ANAPOLIS";"Vapt Vupt";"Considerando o decreto do Sr. Governador quanto às medidas de enfrentamento ao Coronavírus, quero fazer minha reclamação acerca dos Vaptvutps:Estão funcionando normalmente e pretendem funcionar a despeito do decreto, inclusive em Shopping Centers.Os gestores alegam que os atendimentos estão sendo por agendamento, e realmente estão sendo assim. Porém, a cada 30 minutos são disponibilizadas 29 senhas e só o quantitativo de servidores no período todo chega a quase 100.Não consigo entender, pois o decreto visa a saúde pública e acredito que o Sr Governador também preze pela saúde dos servidores.Afinal, de contas se os demais cidadãos estão em quarentena, por que os vaptvupts devem funcionar? Somos diferentes dos servidores da educação, da segurança e demais? Uma vez que os serviços prestados no vaptvupt NÃO SÃO ESSENCIAIS À VIDA HUMANA. Entendo que a arrecadação irá cair, mas se desconsideramos isto, o que seria poupado arrecadando mais agora, seria, com certeza, gasto no atendimento à nossa saúde e a de nossos parentes.Esperamos providências de fechamento destes serviços em cumprimento ao Decreto Governamental.";"55";"Finalizado pela ouvidoria do Órgão.";"SEAD";"Secretaria de Estado de Administração (Antiga SEGPLAN)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0318.100449-31";"2020-03-18 10:04:49";;"GOIANIA";;"A portaria que trata da dispensa de funcionários do ipasgo devido a coronavirus ficou diferente da portaria do governo estadual. Foi omitida a parte que trata de pessoas com filho em idade escolar. Sendo assim pessoas estão tendo que deixar os filhos na casa dos idosos. ";"55";"Finalizado pela ouvidoria do Órgão.";"SEAD";"Secretaria de Estado de Administração (Antiga SEGPLAN)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0318.102415-90";"2020-03-18 10:24:15";"SAO PAULO";"CALDAS NOVAS";"hoteis";"Caldas Novas e Rio Quente são municípios onde há muita aglomeração de pessoas vindas de vários Estados do Brasil.PORQUE O GOVERNO DE GOIÁS não inclui no Decreto o fechamento dessa possível fábrica de proliferação de virus?  Se houver propagação lá, onde que irão atender se Caldas Novas não tem hospital que suporte?  Rio Quente então nem hospital tem!!!Pensem com carinho pois lá, em todos os hoteis, são conglomerados de pessoas utilizando se da mesma piscina!!!!!!!!!!!!!!!";"55";"Finalizado pela ouvidoria do Órgão.";"SGG/GOVERNADORIA";"Secretaria Geral da Governadoria ";"Reclamação";"COVID-19 - Corona Vírus";"Estabelecimento aberto"
"2020.0318.110814-89";"2020-03-18 11:08:14";;"CAMPOS BELOS";;"Recebemos um e-mail da Gerência de Assuntos Acadêmicos com o seguinte texto:""Bom dia,Considerando as portarias n.º 560/2020 e 563/2020, emitidas pela Reitoria, que tratam sobre o funcionamento de atividades acadêmicas e de gestão da instituição de ensino superior durante o período de emergência instituído na última sexta-feira, por decreto do Governador do Estado, enfatizamos que as secretarias acadêmicas nos Câmpus e Unidades Universitárias não poderão ser fechadas, devendo trabalhar com revezamento de funcionários.Esclarecemos ainda que  a terceira chamada do processo seletivo 2020/1 irá  acontecer  normalmente mantendo o cronograma aprovado.As Coordenações da PrG estarão trabalhando com revezamento e, se houver dificuldade no atendimento pelos telefones 62 33281402, 33281135 e 33281113 poderão utilizar os celulares: 62 986044000 (Professora Brandina), 62 98175-4112 (  Professor Silvair) e  (62) 991990744 (Lilian).Certos do apoio e compreensão de todos, antecipamos agradecimentos.Atenciosamente,Lilian LopesPró-Reitoria de Graduação/UEGCoordenação Acadêmica(62) 33281135""Ressaltamos o seguinte: trabalho só na secretaria acadêmica, com acumulo de serviço.tenho filho pequeno em idade escolar, que está com as aulas suspensas e necessita de meus cuidados.pelo mesmo motivo não irei me expor fazendo matrículas de pessoas que vem de vários locais e podem estar contaminadas com a COVID-19.e o acesso dessas pessoas à Unidade está também proibido pelas referidas portarias e dificultado pelo fechamento das rodoviárias que deverá acontecer nos próximos dias.Desse modo, solicito que a UEG reveja essa exigência e adie as matrículas em 3ª chamada pois tal atitude é contra tudo que tem sido legislado em relação a prevenção da Covid-19.";"55";"Finalizado pela ouvidoria do Órgão.";"UEG";"Universidade Estadual de Goiás";"Comunicação";"COVID-19 - Corona Vírus";"Outros"
"2020.0318.111305-94";"2020-03-18 11:13:05";;"ANAPOLIS";"UNIVERSIDADE ESTADUAL DE GOIÁS";"Contrariando o Decreto do Governador do Estado de Goiás, que tem como objetivo minimizar a disseminação do Novo Corona Virus e contrariando, inclusive, as normativas internas (Portarias 560 e 563 da UEG), a Pró Reitoria de Graduação da Universidade Estadual de Goiás determinou a continuidade dos serviços das Secretarias Acadêmicas dos Câmpus e Unidades, inclusive com o atendimento ao público, ressaltando que haverá a convocação de 3º chamada do Vestibular, quando os alunos, vindo das mais diversas partes do Estado e do país, deverão comparecer às Unidades para a entrega de documentos.Trata-se de uma situação de Emergencia, já declarada através de Decreto do Governador, em decorrência de uma pandemia que assola o planeta, e a UEG insiste em colocar em risco a vida de seus Servidores, e de toda a população, vez que serão convocados a comparecer aos campus para efetivar matrículas, pessoas que podem ter adquirido o virus em suas cidades de origem, disseminando por todo o estado.Em anexo, o email enviado pela PRG, uma afronta às normas do Estado de Goiás e às suas próprias portarias, que proibem a entrada de terceiros nos prédios e possibilita a realização de teletrabalho.Ressalto que o próprio Código Penal Brasileiro classifica como crime o descumprimento de norma que visa resguardar a saúde pública.";"55";"Finalizado pela ouvidoria do Órgão.";"UEG";"Universidade Estadual de Goiás";"Comunicação";"COVID-19 - Corona Vírus";"Outros"
"2020.0318.112750-66";"2020-03-18 11:27:50";;"ANAPOLIS";"UNIVERSIDADE ESTADUAL DE GOIÁS";"Contrariando o Decreto do Governador do Estado de Goiás, que tem como objetivo minimizar a disseminação do Novo Corona Virus e contrariando, inclusive, as normativas internas (Portarias 560 e 563 da UEG), a Pró Reitoria de Graduação da Universidade Estadual de Goiás determinou a continuidade dos serviços das Secretarias Acadêmicas dos Câmpus e Unidades, inclusive com o atendimento ao público, ressaltando que haverá a convocação de 3º chamada do Vestibular, quando os alunos, vindo das mais diversas partes do Estado e do país, deverão comparecer às Unidades para a entrega de documentos.Trata-se de uma situação de Emergencia, já declarada através de Decreto do Governador, em decorrência de uma pandemia que assola o planeta, e a UEG insiste em colocar em risco a vida de seus Servidores, e de toda a população, vez que serão convocados a comparecer aos campus para efetivar matrículas, pessoas que podem ter adquirido o virus em suas cidades de origem, disseminando por todo o estado.Em anexo, o email enviado pela PRG, uma afronta às normas do Estado de Goiás e às suas próprias portarias, que proibem a entrada de terceiros nos prédios e possibilita a realização de teletrabalho.Ressalto que o próprio Código Penal Brasileiro classifica como crime o descumprimento de norma que visa resguardar a saúde pública.";"55";"Finalizado pela ouvidoria do Órgão.";"UEG";"Universidade Estadual de Goiás";"Comunicação";"COVID-19 - Corona Vírus";"Outros"
"2020.0318.114343-49";"2020-03-18 11:43:43";"GOIANIA";"GOIANIA";;"Boa tarde! Gostaria de saber se a interrupção de atividades por conta do corona vírus, se aplica também para call center em geral ";"55";"Finalizado pela ouvidoria do Órgão.";"SES";"Secretaria de Estado da Saúde ";"Solicitação";"COVID-19 - Corona Vírus";"Informações"
"2020.0318.115152-35";"2020-03-18 11:51:52";;"GOIANIA";"POLÍCIA CÍVIL";"Em meio a grave pandemia de coronavirus pela qual o mundo está passando não estão seguindo a norma, decretada inclusive pelo próprio governo estadual, pois o gerente responsável não autorizou o escalonamento de servidores, tendo mais de três em cada sala. Não dispensou servidores com mais de 60 anos e não há nenhuma medida de proteção como máscaras e álcool em gel para a execução das atividades.";"55";"Finalizado pela ouvidoria do Órgão.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0318.115754-92";"2020-03-18 11:57:54";;"GOIANIA";;"Bom dia. Trabalho em um hospital na parte de fisioterapia. Temos contato diariamente e com as mãos em diversos pacientes. Gostaria de deixar minha sugestão para que o governador decrete o fechamento desse tipo de tratamento neste momento. Obrigada.";"55";"Finalizado pela ouvidoria do Órgão.";"SGG/GOVERNADORIA";"Secretaria Geral da Governadoria ";"Comunicação";"COVID-19 - Corona Vírus";"Informações"
"2020.0318.115845-69";"2020-03-18 11:58:45";;"GOIANIA";;"Em virtude do Decreto emitido pelo Governador do Estado de Goiás, sobre procedimentos a serem adotados no âmbito dos órgãos públicos, para evitar disseminação do COVID-19. Foi elaborada a Portaria Normativa nº. 09/2020  (Processo nº. 202000007017503), no fim de regulamentar a forma como serão realizados os métodos de prevenção contra o vírus citado acima. No entanto, alguns setores subordinados à DELEGACIA GERAL DE POLÍCIA CIVIL, sobretudo no que diz respeito à  área de Gestão Administrativa, não estão seguindo a normativa. Recaindo no Art. 304. Constitui, ainda, transgressão disciplinar, quanto aos funcionários ocupantes de cargos inerentes às funções de polícia civil ou de segurança prisional: XIII - deixar de cumprir ou de fazer cumprir, na esfera de suas atribuições, as leis e os regulamentos. Não foi autorizado a estes setores realizar revezamento de servidores, tampouco a dispensa de servidores acima de 60 anos, nem fornecido os kits de proteção pela administração (luvas, máscara e álcool em gel). Nesse momento de crise, todos deveriam ter senso e auxiliar na prevenção da doença, no entanto, isto está passando longe do interesse de alguns chefes. Será que os servidores serão penalizados por isso? E as pessoas que tem contato com eles? Inacreditável tal postura.";"55";"Finalizado pela ouvidoria do Órgão.";"SSP";"Sec. Estado da Segurança Pública (Policias Civil e Militar, Bombeiros, DGAP, PROCON)";"Comunicação";"Saúde";"Corona Vírus - Denúncia, solicitação ou informação"
"2020.0318.122439-66";"2020-03-18 12:24:39";;"ANAPOLIS";"UEG";"Contrariando o Decreto do Governador do Estado de Goiás, bem como as normatizações das autoridades sanitárias , que tem como objetivo minimizar a disseminação do Novo Corona Virus e contrariando, inclusive, as normativas internas (Portarias 560 e 563 da UEG), a Pró Reitoria de Graduação da Universidade Estadual de Goiás determinou via imposição interna , com comunicado enviado via e-mail , a continuidade dos serviços das Secretarias Acadêmicas dos Câmpus e Unidades, inclusive com o atendimento ao público, ressaltando que haverá a convocação de 3º chamada do Vestibular, quando os alunos, vindo das mais diversas partes do Estado e do país, deverão comparecer às Unidades para a entrega de documentos.Tal procedimento pode , perfeitamente , ser realizado através de envio de documentos por e-mail , com termo de compromisso de entrega dos documentos físicos ao retornarmos às atividades .  Trata-se de uma situação de Emergencia, já declarada através de Decreto do Governador, em decorrência de uma pandemia que assola o planeta, e a UEG insiste em colocar em risco a vida de seus Servidores, e de toda a população, vez que serão convocados a comparecer aos campus para efetivar matrículas, pessoas que podem ter adquirido o virus em suas cidades de origem, disseminando por todo o estado. Os demais serviços de Secretaria Acadêmica , na realidade atual, podem ser feitos por meio da modalidade de teletrabalho , considerando a restrição de terceiros adentrarem ao prédio , tais procedimentos já vem sendo feito após a suspensão das aulas , os servidores estão indo para o prédio , mas, os atendimento são feitos  via e-mail , WhatsApp , serviços via SEI e Sistema próprios da Universidade . Em anexo, o email enviado pela PRG, uma afronta às normas do Estado de Goiás e às suas próprias portarias, que proibem a entrada de terceiros nos prédios e possibilita a realização de teletrabalho. Ressalto que o próprio Código Penal Brasileiro classifica como crime o descumprimento de norma que visa resguardar a saúde pública.";"55";"Finalizado pela ouvidoria do Órgão.";"UEG";"Universidade Estadual de Goiás";"Comunicação";"COVID-19 - Corona Vírus";"Outros"
"2020.0318.125012-29";"2020-03-18 12:50:12";;"GOIANIA";"Vila nova";"Ok CORONAVÍRUS ENQUANTO O GOVERNADOR ESTÁ SOLICITANDO/DETERMINANDO QUE A POPULAÇÃO FIQUE EM CASA ENQUANTO O TRIBUNAL DE JUSTIÇA SUSPENDEU O ACESSO PÚBLICO EXTERNO POR 30 DIAS O CAT-Conselho Administrativo Tributário da Sefaz-GO suspendeu 4 dias de julgamento e sequer suspendeu acesso externo Sou advogado militante idoso e entendo que a exemplo do Tribunal de Justiça o CAT DEVE SUSPENDER OS ACESSOS PÚBLICO EXTERNO E CONSEQUENTEMENTE OS JULGAMENTOS TAMBÉM PELO MENOS prazo de 30 Dias";"55";"Finalizado pela ouvidoria do Órgão.";"SGG/GOVERNADORIA";"Secretaria Geral da Governadoria ";"Comunicação";"COVID-19 - Corona Vírus";"Outros"
